brewery_id,brewery_name
10325,Vecchio Birraio
1075,Caldera Brewing Company
163,Amstel Brouwerij B. V.
1454,Broad Ripple Brew Pub
850,Moon River Brewing Company
14879,Hoppin' Frog Brewery
7345,Kirner Bier
8802,Conwy Brewery Ltd
2724,Pacific Coast Brewing Company
1386,Harmon Restaurant & Brewery
12770,City Grille and Brewhaus
3207,San Francisco Brewing Company
9020,Yazoo Brewing Company
20658,7 Seas Brewery and Taproom
15636,Calapooia Brewing Company
23020,Brouwerij Van Viven
3407,"Clockwork Beer Co, The"
16604,Landhausbräu Koller
11715,Destiny Brewing Company
1463,Harboes Bryggeri A/S
18185,Hokusetsu Brewery
2055,Bernard Family Brewery
577,Isle Of Skye Brewery
15524,Brauhaus Lemke
1199,Founders Brewing Company
14756,Bluegrass Brewing Co.
17293,The Stable
24162,Finger Lakes Beer Company
14589,Rustic Rail Grill And Brewhouse
21841,Craggie Brewing Company
10774,Micro-Brasserie Brouemont
13614,Brauerei Neder
26612,Old Orange Brewing Co.
25484,Brew Eyed
13956,Eastwood The Brewer (John Eastwood)
26983,Rusty Truck Brewing Company / Roadhouse 101
26990,NoDa Brewing Company
24517,White Bluffs Brewing Company
5330,Highland Pub & Brewery (McMenamins)
10912,Golden State Brewing Company
21138,Growler Craft Brewery
16859,Great South Bay Brewery
19380,Mariposa Brewing Company
3087,4th Street Brewing Company
23246,Yeastie Boys
421,Formosa Brewing Co.
7314,Stadtbrauerei Arnstadt
18847,Brasserie d'Orgemont
23082,Crested Butte Brewing Co.
2188,Third Base Sports Bar & Brewery
15527,Meta Abo Brewery - Ethiopia
365,Pike Pub & Brewery
10103,Bakushukan Clair (Kure Beer)
15607,Asmara Breweries
3282,Brasserie La Binchoise (Malterie des Remparts)
1746,Voronezhsky Brewery
3631,"Frog at Bercy Village, The"
5476,Bootleggers Restaurant & Brewery
16994,Ohio Brewing Company
971,Crescent City Brewhouse
25966,Pivovar Groll
25953,Piniavos Alutis
9300,Les Sarments
453,Pivovarna Laško
16791,Otro Mundo Brewing Company
21516,Kirkland Signature / Costco Wholesale Corporation
765,Trafalgar Ales & Meads
14,Cambridge Brewing Company
395,Bluegrass Brewing Co. - East St. Matthew's
12003,Emmett's Brewing Company
22167,Fulton Beer
7402,Wasatch Brew Pub
5049,Bath Ales Ltd
20988,Becker Brewing Company
2310,Great Basin Brewing Co.
17204,SBC Restaurant & Brewery - Hamden
1303,Jennings Brothers PLC
3268,O'Fallon Brewery
936,No-Li Brewhouse
25684,Birrificio Indipendente Elav
2446,Catawba Valley Brewing Company
1487,Accra Brewery Limited
5007,Brasserie d'Algiers
12907,Sauris AgriBeer S.a.s
60,Cooperstown Brewing Company
23022,Ivory Tower Brewing
4078,Bertram's Salmon Valley Brewery & Restaurant
1917,Kompania Piwowarska
6277,Stakhanovitz
22288,Mt Tabor Brewing
16863,Wapping Beers Ltd.
23739,Marco Island Brewery
860,The Vermont Pub & Brewery
2430,Al Ahram Beverages Company
24072,Copper Crow Brewing Company
9345,Wm. Kuether Brewing
1482,The Seven Barrel Brewery
5752,Brauerei Aldersbach
26946,Big Hurt Brewing Company
10950,Richmodis-Bräu
5500,Black Forest Brew Haus & Grill
3965,Anacapa Brewing Company
26816,Kolding Bryglaug
2647,Brasserie Britt de Bretagne
13670,The Two Metre Tall Company Pty Ltd
21590,Ram Restaurant & Brewery
2464,The Cowboy Restaurant & Brewery
5095,Naturbier
14365,Growlers
16050,Privatbrauerei Hösl
1127,Buckhead Brewery and Grill
3524,Bayerische Brauerei Kaiserslautern
1616,Spanish Springs Brewing Company
23982,Brasserie Craig Allan
1289,The Ship Inn
2600,Fernandes Brewery Tap
2554,Matso's Broome Brewery
11159,"Pivovar Nymburk, spol. s r.o."
1381,Amstar
8775,O'Griff's Irish Pub & Brewhouse
16269,Inlet Brewing Co.
24447,Pensacola Bay Brewery
7091,Archers Brewing & Wholesale Limited
6513,Schorschbräu
16041,Birrificio B.O.A. (Birrificio Ostiense Artigianale)
26384,Birrificio Del Levante - Leone D'Oro
11084,"Great Sex Brewing, Inc."
7732,Lido Atputas Centrs
7601,Brauerei An Der Thomaskirche
4955,Palos De Moguer - 82
13892,Red Squirrel Brewery
4150,"Denmark Brewing, LLC"
7088,Sternquell Brauerei Plauen
17285,Mattingly Brewing Company
27133,Raw Microbrewery
11863,Brasserie Artisanale De La Divatte
16323,Brasserie De La Baie
20268,Kirkwood Station Brewing Company
18816,Vertigo Brewing
5321,McMenamins Queen Anne Hill
24892,Brewfist
